fid;area;MNH_max;genus;species;height;numero;classe;conifere;Intensity_mean;Intensity_stdev;Nbreturns_mean;Nbreturns_stdev
20981;83.3600000004379;9.31467437744141;Celtis;australis;9.6;9;Feuillu;2;2080.91358617379;1401.17478390737;1.33845415266443;0.59377059956042
1185;30.9199999991292;9.31671142578125;Celtis;australis;8.04;9;Feuillu;2;1979.54379084967;829.8260702737;1.48235294117647;0.669612867089928
12745;30.8000000010012;9.31845092773438;Celtis;australis;9.6;8;Conifère;1;1605.58181818182;831.94667297995;1.82597402597403;0.781839754631826
12409;36.3199999983609;9.31873321533203;Celtis;australis;10.18;9;Feuillu;2;1624.39977973568;734.635381015371;1.49779735682819;0.696905996348376
2305;60.6799999987287;9.32208442687988;Celtis;australis;10.05;9;Feuillu;2;1891.57613711272;871.801893116344;1.26104152933421;0.516457913857016
21255;29.440000000447;9.32529830932617;Celtis;australis;10.6;9;Feuillu;2;1576.6277173913;802.773864615688;1.60869565217391;0.738410774968642
10961;42.2400000002375;9.32596588134766;Celtis;australis;10.72;9;Feuillu;2;1921.91737891738;939.292278594234;1.31908831908832;0.572217097965878
11329;64.4000000006519;9.32878875732422;Celtis;australis;9.4;9;Feuillu;2;1612.11863354037;761.009282572891;1.6527950310559;0.767715180089122
11294;48.3199999995716;9.33049011230469;Celtis;australis;10.78;9;Feuillu;2;1735.25413907285;935.383955844026;1.6796357615894;0.804076451699745
12857;28.1599999986682;9.34055328369141;Celtis;australis;10.11;9;Feuillu;2;2023.83806818182;843.331683794534;1.35795454545455;0.583625345053174
7814;25.0400000005402;9.34066581726074;Celtis;australis;9.99;9;Feuillu;2;1539.19009584665;796.812085128821;1.46805111821086;0.600666592390822
3758;52.0799999990081;9.34272384643555;Celtis;australis;11.0;9;Feuillu;2;2167.86789554531;815.102060876543;1.39170506912442;0.608585789048469
2349;77.6400000010989;9.34686660766602;Celtis;australis;9.73;9;Feuillu;2;2021.29623905203;831.10443290473;1.47810407006698;0.715011420010842
1322;120.719999999432;9.34754943847656;Celtis;australis;9.95;9;Feuillu;2;2090.48763368984;917.125786940741;1.47192513368984;0.627372958151407
17713;42.6400000000978;9.34788513183594;Celtis;australis;8.84;9;Feuillu;2;1418.15898400753;753.780526391957;1.85983066792098;0.796343223819043
7217;62.9600000000419;9.3491325378418;Celtis;australis;9.95;9;Feuillu;2;1220.33290978399;635.205476343016;1.80177890724269;0.769558619951967
17312;57.0400000006333;9.34996032714844;Celtis;australis;9.77;8;Conifère;1;1614.95151089248;674.721272274328;1.43710470836261;0.621765486358818
8661;29.43999999905;9.35486125946045;Celtis;australis;10.0;9;Feuillu;2;1201.82880434783;519.060910533843;1.6875;0.651216462042217
8290;81.8800000004052;9.35794639587402;Celtis;australis;9.95;9;Feuillu;2;1943.97943192948;956.942197221332;1.30068560235064;0.548963514572144
16469;57.8799999997765;9.35817813873291;Celtis;australis;8.39;9;Feuillu;2;2013.01796821009;718.394681787246;1.36420179682101;0.631507259538294
8112;31.5200000004796;9.35886764526367;Celtis;australis;9.73;9;Feuillu;2;1429.53172588832;673.439927007513;1.39213197969543;0.580817752629155
8728;37.9200000006426;9.35964012145996;Celtis;australis;9.78;9;Feuillu;2;2065.91244725738;754.432935767524;1.18143459915612;0.431845769840899
9814;52.4799999993108;9.36069107055664;Celtis;australis;9.69;9;Feuillu;2;1948.75;814.66989892061;1.41996951219512;0.692730545613942
2741;54.0399999994691;9.36465454101562;Celtis;australis;9.31;9;Feuillu;2;1400.65893792072;710.515619905652;1.79356768885565;0.793119571874931
5431;38.5600000007637;9.36635589599609;Celtis;australis;9.89;8;Conifère;1;1128.71161825726;504.12076188361;1.60788381742739;0.615986948004227
20302;21.999999999837;9.36692428588867;Celtis;australis;10.4;9;Feuillu;2;2097.69818181818;861.019019849241;1.42;0.635295206970743
12350;33.2000000006752;9.36789703369141;Celtis;australis;11.0;9;Feuillu;2;1916.81927710843;770.883505717582;1.30481927710843;0.533098154224931
2308;80.0000000007217;9.36799049377441;Celtis;australis;9.98;9;Feuillu;2;1918.176;816.161473008865;1.2935;0.503346550599092
12039;66.8800000003352;9.36860656738281;Celtis;australis;9.86;9;Feuillu;2;1955.54916067146;876.955619660546;1.46702637889688;0.691324472937348
10506;61.8000000006286;9.36962127685547;Celtis;australis;10.19;9;Feuillu;2;1331.8569579288;680.608848591969;1.56375404530744;0.713245114408755
12860;41.7999999994179;9.37225341796875;Celtis;australis;10.58;9;Feuillu;2;1879.65358851675;779.782289945087;1.38277511961722;0.610035650501969
14187;19.4800000011967;9.37311172485352;Celtis;australis;11.0;9;Feuillu;2;1354.63039014374;673.204628022883;1.51540041067762;0.662325095148201
8125;62.0800000003585;9.37454605102539;Celtis;australis;9.79;9;Feuillu;2;1395.30154639175;761.444658756055;1.67912371134021;0.78983702818192
8670;47.2400000002375;9.37963390350342;Celtis;australis;9.93;9;Feuillu;2;1341.22692633362;541.720006028203;1.51820491109229;0.632762443777526
1203;50.6799999993341;9.38088989257812;Celtis;australis;9.59;8;Conifère;1;2470.22590837283;999.11635895347;1.32464454976303;0.546112998948359
21446;30.6800000004517;9.38160705566406;Celtis;australis;9.6;8;Conifère;1;1775.67926988266;7003.82662207965;2.14732724902216;0.84244632051377
8904;49.159999999227;9.38193702697754;Celtis;australis;9.74;9;Feuillu;2;1333.08543531326;610.099654406549;1.49552481692433;0.627045318264888
11292;51.5199999994785;9.39033508300781;Celtis;australis;11.8;9;Feuillu;2;1834.0201863354;782.769468948539;1.53649068322981;0.73946269412335
8431;38.160000000624;9.39297771453857;Celtis;australis;9.83;9;Feuillu;2;1722.93396226415;820.201215814195;1.43605870020964;0.588676856177248
